latitude,longitude,depth,mag
-27.0521,-69.2878,112.07,4.3
-25.7792,-69.5255,10,4.9
-28.8317,-68.8227,82.7,4.5
-28.5433,-68.803,130.4,4.6
-28.4109,-67.489,101.51,5.5
-25.8257,-69.3773,107.83,4.3
-25.8184,-69.3011,135.12,4.3
-28.6372,-67.1752,131.87,4.6
-28.0455,-66.757,145.18,4.6
-28.165,-69.527,105.09,4.4
-27.3991,-67.718,185.21,4.2
-28.6483,-67.5895,140.46,4.3
-27.8767,-66.7515,157.26,5.3
-27.4535,-70.26,92.67,4.4
-28.2586,-67.569,167.69,4.1
-28.0261,-66.7946,142.34,4.9
-28.2166,-67.4164,123.45,4.7
-28.253,-67.4727,118.12,4.5
-25.8389,-69.0922,107.67,4.1
-27.9046,-66.8037,167.09,4.2
-27.6271,-67.5351,132.52,4.4
-27.4675,-66.7251,34.13,4.8
-28.0401,-66.877,162.54,4.4
-28.4089,-67.3936,131.39,4.5
-28.2159,-67.4469,145.34,4.5
-27.4146,-70.1933,75.21,5.3
-25.9744,-69.0462,117.96,4.3
-27.8854,-66.6429,148.84,5.2
-28.1444,-67.3963,129.82,5
-28.1294,-68.7223,101.29,4.3
-27.3878,-67.2616,129.95,4.8
-27.9205,-66.7636,173.78,4.8
-27.9109,-66.6465,157.84,4.3
-27.9617,-66.8615,180.1,4.2
-27.9023,-67.4727,169.4,4.2
-27.9708,-66.8873,170.25,4.2
-28.194,-69.6194,103.52,4.4
-27.621,-69.1494,106.35,4.5
-27.4686,-70.0876,82.48,4.5
-27.9927,-69.3632,93.5,4.6
-27.6843,-69.0879,100.38,4.6
-28.747,-67.8543,128.82,4.3
-26.2435,-69.3262,114.11,4.1
-26.4937,-69.3138,124.56,4.3
-27.5552,-69.3473,110.91,4.2
-27.7403,-69.6387,52.71,4.3
-28.0444,-68.8827,92.87,4
-27.3673,-69.4653,118.02,4.1
-27.54,-70.407,96.85,4.4
-28.2058,-67.5349,114.32,4.2
-27.9279,-66.6632,165.81,4.4
-27.4663,-67.4238,170.5,4.4
-26.3064,-67.9828,35.98,4.7
-27.2942,-69.1076,97.77,4.6
-28.8062,-67.8804,41.58,4.1
-25.7063,-68.8681,119.12,4.7
-27.5319,-69.8097,89.46,4.4
-27.7012,-67.257,109.22,4.2
-27.1763,-70.2712,98.59,4.2
-27.9135,-66.8314,189.59,4.7
-28.3803,-67.4776,120.33,4.9
-28.2506,-68.9024,79.29,5.1
-27.8337,-66.8102,150.88,4.3
-27.5647,-69.5867,111.3,4.2
-28.4827,-69.7977,138.81,4.3
-27.9496,-66.696,162.46,4.1
-27.8649,-69.3609,109.82,4.1
-27.8909,-66.9081,209.68,4.4
-27.7151,-70.2877,76.89,4.4
-27.8254,-70.1908,97.48,4.2
-28.7645,-69.2896,128.08,4.6
-28.0141,-69.26,118.94,4.5
-28.0917,-67.3529,116.53,5
-25.8981,-69.2969,113.7,4.2
-28.545,-68.8943,110,5.6
-28.1935,-67.2675,133.42,4.2
-28.8791,-69.1092,96.51,4.8
-27.4751,-67.2029,133.15,4.5
-28.0117,-66.7551,146.9,4.6
-27.8204,-69.9268,96.45,4.1
-27.0067,-70.0454,91.88,4.2
-25.575,-68.7787,113.16,4
-28.707,-67.4005,129.24,4.7
-27.3294,-69.7109,134.27,4.4
-27.5238,-67.214,119.2,5.1
-27.065,-70.409,85.8,4.2
-28.0203,-68.2753,105.82,4.4
-27.6127,-70.0672,82.85,5.1
-25.7452,-69.3262,106.99,4.7
-28.1121,-68.8279,103.94,4.4
-27.5873,-67.3446,131.86,4.7
-27.9112,-67.1016,174.24,4
-27.5609,-69.6017,114.81,4.2
-28.8729,-67.6567,171.4,4.1
-26.1613,-68.4146,148.53,4
-28.4886,-68.1209,171.99,4.3
-28.2557,-67.4544,123.1,4.4
-28.3357,-68.8358,110.7,4.2
-27.4844,-69.453,102.08,4.3
-28.0774,-68.4816,146,4.3
-28.1225,-67.3071,118.77,5.3
-27.9604,-66.6952,148.98,4.7
-28.5698,-69.3981,145.44,4.1
-27.6937,-70.2406,90.27,4.4
-28.077,-69.1877,145.08,3.7
-27.591,-69.6,120.7,4.1
-26.105,-69.396,103.9,4.3
-27.9704,-66.6317,153,4.4
-25.7705,-69.3417,118.96,5.5
-27.359,-67.2802,124.13,4.4
-28.72,-67.6,155,4.2
-25.89,-69.48,90,4.4
-27.5964,-66.6479,31.3,4.4
-28.0446,-66.711,160.65,4.4
-26.4613,-69.8601,59.32,5.3
-28.66,-68.9062,97.85,4.3
-25.849,-69.185,115.5,4
-28.3278,-67.5022,129.94,4.6
-28.4636,-67.9168,25.68,4.9
-27.3816,-66.8167,113.26,4.4
-27.1936,-70.0544,98.73,4.1
-28.2403,-67.5208,126.27,4.5
-28.297,-67.531,153,4.8
-27.1773,-69.8589,105.69,4.1
-26.678,-70.215,59.3,4.1
-28.3289,-68.957,81.97,4
-25.8869,-69.3122,6,3.8
-27.9129,-66.9694,161.98,4.1
-27.0638,-69.345,109.24,4.6
-28.8752,-67.9926,17.36,4.4
-27.0782,-69.1612,114.56,4.6
-28.338,-69.76,113.4,4.2
-27.673,-70.287,92.6,4
-26.1188,-69.3253,101.46,4.3
-28.3003,-67.3667,118.91,4.6
-27.955,-66.742,182,4
-27.8681,-66.861,163.45,4.1
-27.998,-66.668,177,4.5
