latitude,longitude,depth,mag
-25.9297,-70.7026,70.45,4.7
-26.9677,-71.2704,10,4.9
-28.8317,-68.8227,82.7,4.5
-29.1699,-69.0388,15.9,4.1
-28.5433,-68.803,130.4,4.6
-24.8906,-69.1925,129.88,4.3
-28.4109,-67.489,101.51,5.5
-25.8261,-69.3778,108.01,4.3
-27.9659,-66.4647,170.59,4.4
-25.8184,-69.3011,135.12,4.3
-25.3362,-69.7035,65.75,4.7
-28.6372,-67.1752,131.87,4.6
-29.8341,-67.6326,121.01,4.2
-26.1174,-70.9395,62.86,4.8
-24.9108,-69.3347,118.99,4.1
-28.0455,-66.757,145.18,4.6
-27.022,-71.2656,10,4.4
-29.645,-69.335,123.01,4
-27.859,-71.3265,18.43,4.3
-26.347,-70.5295,58.58,3.8
-27.0521,-69.2878,112.07,4.3
-28.165,-69.527,105.09,4.4
-29.0156,-69.7738,109.38,4.3
-27.3991,-67.718,185.21,4.2
-27.2965,-71.0547,35,4.5
-28.2188,-71.2052,39.83,4.2
-27.7513,-70.63,63.82,4.2
-27.7317,-71.2941,22.47,4.1
-28.8739,-67.3629,158.85,4.2
-28.3045,-70.5367,86.26,4.7
-26.137,-71.2257,17.3,4
-25.8654,-70.7023,50.64,4.2
-29.1642,-67.6662,120,5.6
-26.2977,-70.9633,25.61,4.2
-29.3837,-69.7346,104.15,4.5
-27.2004,-71.1177,35,4.2
-28.6483,-67.5895,140.46,4.3
-27.8767,-66.7515,157.26,5.3
-27.1458,-71.217,35,4.2
-27.4535,-70.26,92.67,4.4
-29.7363,-69.3107,112.93,4.6
-24.9314,-68.8927,98.05,4.3
-28.2586,-67.569,167.69,4.1
-28.0261,-66.7946,142.34,4.9
-28.2166,-67.4164,123.45,4.7
-28.253,-67.4727,118.12,4.5
-25.8389,-69.0922,107.67,4.1
-27.9046,-66.8037,167.09,4.2
-29.6384,-68.346,105.91,4.5
-27.6271,-67.5351,132.52,4.4
-27.4675,-66.7251,34.13,4.8
-28.0401,-66.877,162.54,4.4
-28.4089,-67.3936,131.39,4.5
-28.2159,-67.4469,145.34,4.5
-27.3042,-71.3188,10,4.2
-27.4146,-70.1933,75.21,5.3
-25.9744,-69.0462,117.96,4.3
-27.8854,-66.6429,148.84,5.2
-28.1444,-67.3963,129.82,5
-25.8994,-71.0166,29,5.5
-27.8289,-71.4598,34.8,4.6
-24.8833,-68.5404,131.96,4.1
-28.1294,-68.7223,101.29,4.3
-24.8335,-68.024,157.65,4.3
-27.3878,-67.2616,129.95,4.8
-27.9205,-66.7636,173.78,4.8
-28.5841,-70.5223,106.33,4.3
-25.7656,-70.5588,48.99,4.5
-27.9109,-66.6465,157.84,4.3
-27.9617,-66.8615,180.1,4.2
-28.0204,-70.806,101.39,4.5
-27.9023,-67.4727,169.4,4.2
-25.8985,-70.6676,51,5.6
-27.9708,-66.8873,170.25,4.2
-29.6779,-69.7775,123.27,4.2
-26.235,-70.6951,63.96,4.2
-28.194,-69.6194,103.52,4.4
-25.4722,-70.3885,36.71,4.2
-27.621,-69.1494,106.35,4.5
-27.4686,-70.0876,82.48,4.5
-27.9927,-69.3632,93.5,4.6
-24.7373,-67.9476,123.03,4.4
-27.6843,-69.0879,100.38,4.6
-29.008,-70.3583,92.49,4.8
-28.747,-67.8543,128.82,4.3
-28.8586,-67.3543,117.1,4.6
-26.2435,-69.3262,114.11,4.1
-27.9857,-66.5921,165.2,4.7
-27.8401,-71.2091,21.79,4.6
-25.1809,-69.5439,81.18,4.1
-27.1916,-71.2176,21.27,4.5
-27.3733,-71.2397,39.62,4.4
-28.7537,-67.2125,118.08,4.5
-29.1217,-70.7088,72.89,4
-26.4937,-69.3138,124.56,4.3
-27.5552,-69.3473,110.91,4.2
-27.7403,-69.6387,52.71,4.3
-27.9186,-71.2558,19.17,4.1
-27.9768,-71.4292,27.8,4.2
-28.0444,-68.8827,92.87,4
-25.2159,-69.1707,93.74,4.3
-25.8996,-70.9383,28.41,5.4
-28.8696,-69.9459,93.13,5.8
-28.2655,-70.708,95.92,4.5
-26.7554,-71.0367,17.11,4.6
-27.3673,-69.4653,118.02,4.1
-28.9731,-67.2045,114.69,4.2
-29.087,-67.4839,119.86,4.5
-27.54,-70.407,96.85,4.4
-28.2058,-67.5349,114.32,4.2
-27.9242,-71.4263,21.4,4.4
-29.6711,-69.4261,131.54,4.4
-28.7317,-70.8122,10,4.3
-26.7636,-71.1526,23.96,4.3
-27.9279,-66.6632,165.81,4.4
-29.7259,-68.5567,104.98,4.4
-27.645,-71.2686,36.62,3.9
-27.4663,-67.4238,170.5,4.4
-28.3673,-70.7906,84.97,4.1
-26.3064,-67.9828,35.98,4.7
-25.5631,-69.4293,10,4.4
-25.612,-69.3008,10,4.2
-27.2942,-69.1076,97.77,4.6
-28.9731,-70.2017,111.18,4.5
-28.3659,-70.2936,93.96,4.4
-28.1213,-70.7264,73.22,4.5
-28.8062,-67.8804,41.58,4.1
-24.7364,-69.4961,78.42,4.3
-25.7063,-68.8681,119.12,4.7
-27.5319,-69.8097,89.46,4.4
-27.7012,-67.257,109.22,4.2
-28.9241,-67.4602,168.03,4.1
-27.1763,-70.2712,98.59,4.2
-27.9135,-66.8314,189.59,4.7
-28.3803,-67.4776,120.33,4.9
-29.3489,-69.4596,118.73,4.8
-25.604,-70.8448,43.19,4.3
-26.9867,-71.4377,10,4.4
-27.957,-71.3684,19.85,4.3
-28.2506,-68.9024,79.29,5.1
-27.9567,-66.5122,157.37,4.3
-27.0845,-71.3242,13.76,4
-27.8337,-66.8102,150.88,4.3
-27.5647,-69.5867,111.3,4.2
-27.9561,-71.0485,57.82,4.4
-26.0362,-70.4649,44.91,4.2
-28.4827,-69.7977,138.81,4.3
-28.4089,-70.2727,121.5,4.2
-27.9496,-66.696,162.46,4.1
-27.8649,-69.3609,109.82,4.1
-27.8909,-66.9081,209.68,4.4
-28.5963,-66.9799,133.01,4.5
-29.158,-68.0965,41.55,4.3
-28.0318,-66.4554,159.84,4.1
-28.797,-67.375,137.95,4.1
-27.7151,-70.2877,76.89,4.4
-27.8254,-70.1908,97.48,4.2
-28.3714,-70.8426,60.82,4.2
-28.2921,-71.261,34.26,4.4
-27.8783,-71.3184,31.88,4.6
-28.7645,-69.2896,128.08,4.6
-28.0141,-69.26,118.94,4.5
-25.038,-67.939,173.2,3.9
-28.0917,-67.3529,116.53,5
-25.8981,-69.2969,113.7,4.2
