latitude,longitude,depth,mag
-27.0521,-69.2878,112.07,4.3
36.3108333,-89.5023333,8.07,1.95
34.26883333,-96.3625,0,1.83
-22.0064,-68.5455,114.1,4.2
35.73333333,-96.73116667,8.47,2.59
36.27633333,-97.49916667,7.26,2.41
17.9553,-66.8853,9,2.57
17.9141,-66.8861,5,2.65
6.6873,-72.9791,162.39,4.2
-17.9984,-69.9744,126.86,4.3
35.581,-97.22433333,6.88,1.69
17.9426,-66.9448,7,3.17
17.9578,-66.819,10,3.34
36.871,-97.45333333,7.65,1.64
17.9446,-66.8045,10,3.36
36.27516667,-97.499,6.6,1.33
36.63883333,-97.71533333,5,1.35
17.9083,-66.9133,12,2.79
17.9213,-66.9175,9,2.57
17.953,-66.83,12,2.34
17.8931,-66.8391,12,2.99
17.8131,-66.9318,7,2.74
17.8676,-66.8418,13,2.94
-23.5365,-64.3065,27.98,4.1
17.1771,-62.1028,107.92,4.3
17.8768,-66.8603,10,2.44
17.889,-66.8506,12,2.52
17.941,-66.8938,15,2.18
36.69666667,-97.6705,5,1.89
17.9156,-66.8851,5,3.04
17.9035,-66.7556,5,2.76
17.9523,-66.9828,6,2.22
36.86483333,-97.45516667,5,1.75
18.003,-66.8613,16,2.69
37.5221,-97.7943,5,2.2
1.7209,-101.1035,10,4.5
6.737,-72.9452,161.04,4.2
17.9133,-66.8918,4,2.19
17.9681,-66.8701,14,2.28
36.301,-89.528,6.01,1.22
17.9273,-66.888,4,2.6
17.8793,-66.8483,15,2.86
18.888,-66.2625,36,3.22
10.431,-86.2886,10,4.6
17.939,-66.892,5,2.69
11.6695,-86.7406,67.04,4.7
17.9505,-66.8341,9,3.15
-55.1462,-35.7464,10,4.4
17.9206,-66.8906,5,4.22
-26.9671,-71.2715,10,4.5
17.9518,-66.8421,12,2.48
36.71533333,-99.3685,5,1.85
17.9265,-66.8831,5,2.14
18.175,-68.7253,71,3.32
-21.4309,-69.4962,29.93,4.4
17.9498,-66.8585,14,2.28
17.9298,-66.8136,14,2.33
0.2895,-77.6885,130.93,5.2
17.9293,-66.8105,12,2.68
17.9325,-66.896,5,3.19
17.906,-66.8013,6,2.72
17.9358,-66.8055,10,2.35
35.8885,-97.40983333,7.81,2.78
-56.0767,-60.1829,10,5
-56.1157,-28.9872,77.96,4.3
16.4346,-98.8845,10,4.7
19.0846,-68.2091,7,3.19
36.2675,-97.71266667,6.6,1.78
37.5053,-97.7994,5,2.5
36.266,-97.71116667,7.6,1.25
17.9595,-66.8431,15,2.28
0.3715,-80.653,10,4.4
17.8175,-66.91,6,2.94
37.5133,-97.7964,5,2.2
17.9348,-66.7471,7,3.17
18.0376,-66.7925,14,1.94
18.0206,-66.7233,11,2.14
17.917,-66.8683,2,2.27
17.953,-67.0195,6,2.54
17.8606,-66.8838,12,2.22
35.786,-96.69616667,7.75,1.27
18.033,-66.746,16,2.6
35.14016667,-95.2945,6.31,2.41
13.5869,-91.4015,35,4.7
17.8008,-66.9,13,2.95
17.8753,-66.7998,5,2.78
30.8488,-41.3368,10,4.7
