latitude,longitude,depth,mag
-24.3564,-67.2952,191.29,4
-24.4465,-66.9561,160.48,5.2
-25.8184,-69.3011,135.12,4.3
-30.2537,-72.0379,12.69,4.8
-24.1475,-67.1954,144.9,4.1
-23.3357,-66.7714,241.43,4.1
-18.2929,-69.4286,142.43,4.2
-39.3431,-72.3203,92.42,4.1
-21.2168,-67.8564,163.64,3.9
-20.3386,-68.7436,119.85,4.4
-30.2403,-72.3456,7.45,5.5
-21.54,-66.6974,246.61,4
-31.7516,-71.5003,44.86,4.3
-25.3362,-69.7035,65.75,4.7
-21.995,-65.8973,267.3,5.3
-28.6372,-67.1752,131.87,4.6
-24.1023,-67.3349,217.33,4.2
-24.1386,-66.9475,171.33,4.9
-16.5985,-69.9969,204.11,4.4
-29.8341,-67.6326,121.01,4.2
-18.2401,-69.6678,117.32,4.7
-24.223,-67.1957,193.35,4.5
-31.2591,-68.8001,113.5,4.4
-17.3895,-71.0157,82.32,5.3
-22.8132,-68.7031,116.2,4.2
-26.9878,-63.3514,554.37,5.5
-24.0845,-67.2454,194.08,4.2
-22.8564,-63.7642,512.88,4.5
-22.9393,-63.7807,533.03,4.7
-24.2996,-66.8054,183.11,4.4
-19.9664,-70.3422,35,3.1
-19.3863,-69.315,113.29,4.5
-21.0687,-68.5055,152.84,4.1
-24.1831,-67.1931,172.39,4.7
-23.4459,-66.7317,206.4,4.5
-23.8291,-69.0363,90.92,4.3
-17.0713,-71.2827,92.33,4.5
-23.9543,-66.9041,210.29,4.3
-15.5292,-70.2253,237.65,4.5
-19.0212,-69.1951,121.06,4.5
-28.5996,-71.3603,35,4.5
-15.7353,-72.3504,113.85,4.1
-19.9162,-69.0994,99.76,4.5
-21.1391,-68.6852,113.83,4.2
-29.8684,-72.1095,10.16,3.9
-32.9458,-68.5569,39.97,4.5
-23.7419,-66.6039,217.47,4.2
-23.4712,-66.8978,247.72,4.2
-21.56,-66.8888,252.87,4.1
-23.2945,-68.7743,99.3,4.2
-34.7855,-74.0109,10,4.5
-21.7351,-68.2737,109.13,5
-30.138,-69.8262,114.02,4.2
-26.1174,-70.9395,62.86,4.8
-40.2487,-71.2282,167.57,5.3
-21.9291,-67.4718,189.44,4.9
-23.706,-68.278,131.43,4.2
-23.1012,-67.0223,252.88,4
-21.893,-68.6241,119.32,4
-20.8227,-70.0463,53.59,4.6
-17.6278,-70.2023,115.47,4.2
-24.9108,-69.3347,118.99,4.1
-30.8075,-71.4426,40.49,4.4
-28.0455,-66.757,145.18,4.6
-35.0849,-71.1183,96.67,4.4
-19.78,-71.1126,10,4.1
-21.6965,-68.4803,118.19,4.5
-19.6448,-70.0633,46,4.2
-21.9101,-68.4786,131.09,4.1
-29.7621,-72.1842,8.11,4.5
-16.7059,-71.3115,123.03,4.2
-15.7731,-70.2216,222.73,4.2
-20.4299,-68.7106,102.05,5.2
-21.0313,-68.3504,152.76,4.1
-31.0031,-71.7878,35,4.3
-24.2131,-67.3193,180.42,4.5
-23.4993,-66.8278,219.22,4.4
-24.0426,-67.0893,221.85,4.4
-27.022,-71.2656,10,4.4
-23.5287,-66.9664,222.97,4.2
-19.1942,-67.7016,263.4,4.4
-35.0536,-71.1422,105.18,4.4
-29.645,-69.335,123.01,4
-30.3947,-72.0695,10,4.1
-23.9615,-67.1332,224.7,4.2
-20.6292,-68.8686,121.77,4.1
-22.9587,-66.3645,245.75,4.3
-21.079,-68.389,139.26,4.3
-30.2857,-71.5582,40.88,5
-22.7979,-70.7215,10,4
-24.7928,-69.9031,71.52,3.9
-30.2742,-71.5788,32.6,4.3
-22.3334,-68.8448,116.87,4.3
-24.3164,-68.9181,107.57,4
-21.1137,-67.5731,205.3,4.1
-14.8162,-71.9232,114.48,4.6
-33.0769,-70.2144,109.91,4.5
-23.3026,-69.3752,83.83,4.2
-21.0982,-70.4872,44.48,4.3
-16.2943,-72.9001,109.62,4.3
-23.1116,-68.6761,100.78,4.5
